factor_id,name,category,data_dependency,effective_lag,economic_rationale,direction,owner,tests,pit_rule,status
reversal_1,reversal_1,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
reversal_2,reversal_2,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
reversal_3,reversal_3,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
reversal_5,reversal_5,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
reversal_10,reversal_10,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
reversal_20,reversal_20,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
volatility_5,volatility_5,volatility_risk,daily_bar,"T+0 close-based, usable from next trade day","captures downside risk, instability, and volatility risk premium",lower_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
volatility_10,volatility_10,volatility_risk,daily_bar,"T+0 close-based, usable from next trade day","captures downside risk, instability, and volatility risk premium",lower_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
volatility_20,volatility_20,volatility_risk,daily_bar,"T+0 close-based, usable from next trade day","captures downside risk, instability, and volatility risk premium",lower_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
volatility_40,volatility_40,volatility_risk,daily_bar,"T+0 close-based, usable from next trade day","captures downside risk, instability, and volatility risk premium",lower_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
volatility_60,volatility_60,volatility_risk,daily_bar,"T+0 close-based, usable from next trade day","captures downside risk, instability, and volatility risk premium",lower_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
volatility_120,volatility_120,volatility_risk,daily_bar,"T+0 close-based, usable from next trade day","captures downside risk, instability, and volatility risk premium",lower_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
volatility_240,volatility_240,volatility_risk,daily_bar,"T+0 close-based, usable from next trade day","captures downside risk, instability, and volatility risk premium",lower_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
downside_volatility_5,downside_volatility_5,volatility_risk,daily_bar,"T+0 close-based, usable from next trade day","captures downside risk, instability, and volatility risk premium",lower_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
downside_volatility_10,downside_volatility_10,volatility_risk,daily_bar,"T+0 close-based, usable from next trade day","captures downside risk, instability, and volatility risk premium",lower_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
downside_volatility_20,downside_volatility_20,volatility_risk,daily_bar,"T+0 close-based, usable from next trade day","captures downside risk, instability, and volatility risk premium",lower_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
downside_volatility_60,downside_volatility_60,volatility_risk,daily_bar,"T+0 close-based, usable from next trade day","captures downside risk, instability, and volatility risk premium",lower_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
downside_volatility_120,downside_volatility_120,volatility_risk,daily_bar,"T+0 close-based, usable from next trade day","captures downside risk, instability, and volatility risk premium",lower_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
upside_volatility_5,upside_volatility_5,volatility_risk,daily_bar,"T+0 close-based, usable from next trade day","captures downside risk, instability, and volatility risk premium",lower_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
upside_volatility_10,upside_volatility_10,volatility_risk,daily_bar,"T+0 close-based, usable from next trade day","captures downside risk, instability, and volatility risk premium",lower_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
upside_volatility_20,upside_volatility_20,volatility_risk,daily_bar,"T+0 close-based, usable from next trade day","captures downside risk, instability, and volatility risk premium",lower_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
upside_volatility_60,upside_volatility_60,volatility_risk,daily_bar,"T+0 close-based, usable from next trade day","captures downside risk, instability, and volatility risk premium",lower_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
max_drawdown_20,max_drawdown_20,volatility_risk,daily_bar,"T+0 close-based, usable from next trade day","captures downside risk, instability, and volatility risk premium",lower_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
max_drawdown_60,max_drawdown_60,volatility_risk,daily_bar,"T+0 close-based, usable from next trade day","captures downside risk, instability, and volatility risk premium",lower_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
max_drawdown_120,max_drawdown_120,volatility_risk,daily_bar,"T+0 close-based, usable from next trade day","captures downside risk, instability, and volatility risk premium",lower_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
ma_bias_5,ma_bias_5,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
ma_bias_10,ma_bias_10,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
ma_bias_20,ma_bias_20,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
ma_bias_40,ma_bias_40,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
ma_bias_60,ma_bias_60,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
ma_bias_120,ma_bias_120,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
ma_bias_240,ma_bias_240,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
ma_slope_5,ma_slope_5,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
ma_slope_10,ma_slope_10,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
ma_slope_20,ma_slope_20,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
ma_slope_60,ma_slope_60,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
ema_bias_5,ema_bias_5,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
ema_bias_10,ema_bias_10,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
ema_bias_12,ema_bias_12,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
ema_bias_20,ema_bias_20,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
ema_bias_26,ema_bias_26,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
ema_bias_60,ema_bias_60,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
ema_bias_120,ema_bias_120,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
ema_slope_12,ema_slope_12,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
ema_slope_26,ema_slope_26,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
ema_slope_60,ema_slope_60,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
macd_diff,macd_diff,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
macd_signal,macd_signal,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
macd_hist,macd_hist,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
rsi_6,rsi_6,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
rsi_14,rsi_14,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
rsi_24,rsi_24,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
kdj_k_9,kdj_k_9,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
kdj_d_9,kdj_d_9,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
kdj_j_9,kdj_j_9,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
cci_14,cci_14,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
cci_20,cci_20,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
williams_r_14,williams_r_14,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
williams_r_20,williams_r_20,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
money_flow_index_14,money_flow_index_14,liquidity_flow,daily_bar,"T+0 close-based, usable from next trade day","captures attention, liquidity, and fund-flow pressure",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
money_flow_index_20,money_flow_index_20,liquidity_flow,daily_bar,"T+0 close-based, usable from next trade day","captures attention, liquidity, and fund-flow pressure",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
price_position_20,price_position_20,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
price_position_40,price_position_40,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
price_position_60,price_position_60,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
price_position_120,price_position_120,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
price_position_240,price_position_240,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
breakout_high_20,breakout_high_20,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
breakout_high_40,breakout_high_40,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
breakout_high_60,breakout_high_60,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
breakout_high_120,breakout_high_120,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
breakout_high_240,breakout_high_240,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",higher_is_better,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
breakdown_low_20,breakdown_low_20,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
breakdown_low_40,breakdown_low_40,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
breakdown_low_60,breakdown_low_60,price_volume,daily_bar,"T+0 close-based, usable from next trade day","captures trend, reversal, and price-location effects that may proxy investor under/over-reaction",empirical,aquant_factor_engine,"coverage,IC,RankIC,ICIR,monotonicity,yearly_stability,corr_vif,crowding,leakage_guard",computed only from current and historical rows; prediction must trade no earlier than next bar,watchlist
