symbol,name,theme_count,themes,reasons
600845,Baosight Software,3,data_element_fintech_ai_app;datacenter_optical_liquid_cooling;xinchuang_software_cybersecurity,industrial data;IDC and industrial software;industrial software
600900,Yangtze Power,3,central_soe_high_dividend;coal_power_oil_gas;high_dividend_state_owned_finance,hydropower dividend;hydropower
600938,CNOOC,3,central_soe_high_dividend;coal_power_oil_gas;high_dividend_state_owned_finance,oil dividend;offshore oil
601088,China Shenhua,3,central_soe_high_dividend;coal_power_oil_gas;high_dividend_state_owned_finance,coal dividend;coal
601857,PetroChina,3,central_soe_high_dividend;coal_power_oil_gas;high_dividend_state_owned_finance,oil dividend;oil gas
601919,COSCO Shipping Holdings,3,high_dividend_state_owned_finance;shipbuilding_ocean_shipping;shipping_ports_logistics,shipping;container shipping
603228,Kinwong,3,advanced_packaging_chiplet_pcb;consumer_electronics_pcb;datacenter_optical_liquid_cooling,high-end PCB;PCB
688066,PIESAT,3,commercial_space_satellite_internet;defense_ship_equipment;low_altitude_space_satellite,satellite remote sensing;satellite application
688116,TnTech,3,chemical_new_materials;power_solid_state_battery;solid_state_battery_materials,nanocarbon material;carbon nanotube
688183,Shengyi Electronics,3,advanced_packaging_chiplet_pcb;consumer_electronics_pcb;datacenter_optical_liquid_cooling,server PCB;PCB
688568,Geovis Technology,3,commercial_space_satellite_internet;defense_ship_equipment;low_altitude_space_satellite,satellite data
000034,Digital China,2,data_element_fintech_ai_app;xinchuang_software_cybersecurity,cloud data service;cloud and IT distribution
000547,Avic Industry-Finance,2,defense_ship_equipment;low_altitude_space_satellite,defense group finance;defense industry
000768,AVIC Xian Aircraft,2,defense_ship_equipment;low_altitude_space_satellite,aircraft
000831,China Rare Earth,2,metals_energy_metals;rare_earth_magnetic_materials,rare earth;rare earth oxide
000901,Aerospace Hi-Tech,2,defense_ship_equipment;low_altitude_space_satellite,aerospace electronic;aerospace electronics
001872,China Merchants Port,2,shipbuilding_ocean_shipping;shipping_ports_logistics,port
002008,Han's Laser,2,industrial_mother_machine_laser;robotics_highend_manufacturing,laser automation
002025,Aerospace Electric,2,defense_ship_equipment;low_altitude_space_satellite,connector
002028,Sieyuan Electric,2,renewable_grid_storage;uhv_smart_grid_power_equipment,power equipment
002074,Gotion High-Tech,2,power_solid_state_battery;smart_ev_autonomous_driving,battery
002156,Tongfu Microelectronics,2,advanced_packaging_chiplet_pcb;ai_compute_semiconductor,advanced packaging
002192,Rongjie,2,power_solid_state_battery;solid_state_battery_materials,lithium mining;lithium resource
002281,Accelink,2,cpo_optical_module_datacenter;datacenter_optical_liquid_cooling,optical device
002371,NAURA,2,ai_compute_semiconductor;semiconductor_equipment_materials,semiconductor equipment;etching deposition and cleaning equipment
002384,Dongshan Precision,2,consumer_electronics_pcb;datacenter_optical_liquid_cooling,FPC and PCB;PCB and connector
002389,Aerospace Rainbow,2,defense_ship_equipment;low_altitude_space_satellite,UAV
002407,Do-Fluoride,2,chemical_new_materials;power_solid_state_battery,fluorine and battery material;electrolyte and fluorine
002415,Hikvision,2,ai_compute_semiconductor;xinchuang_software_cybersecurity,AI vision hardware;AIoT
002472,Shuanghuan Driveline,2,humanoid_robot_core_parts;robotics_highend_manufacturing,gear transmission
002497,Yahua Group,2,power_solid_state_battery;solid_state_battery_materials,lithium salt
002518,Kstar,2,datacenter_optical_liquid_cooling;renewable_grid_storage,UPS energy storage;UPS storage
002527,Xinshida,2,humanoid_robot_core_parts;robotics_highend_manufacturing,robot controller
002594,BYD,2,power_solid_state_battery;smart_ev_autonomous_driving,battery vehicle;new energy vehicle
002747,Estun,2,humanoid_robot_core_parts;robotics_highend_manufacturing,robot body and servo;robotics
002821,Asymchem,2,cxo_biotech_innovative_drug;innovative_drug_medical_device,CDMO
002850,Kedali,2,power_solid_state_battery;smart_ev_autonomous_driving,battery structure
002851,Megmeet,2,datacenter_optical_liquid_cooling;home_appliance_export,power supply;power electronics export
300003,Lepu Medical,2,innovative_drug_medical_device;medical_device_ivd_imaging,cardiovascular device
300014,EVE Energy,2,power_solid_state_battery;smart_ev_autonomous_driving,battery
300033,Hithink RoyalFlush,2,data_element_fintech_ai_app;xinchuang_software_cybersecurity,financial data;financial IT
300045,Hwa Create,2,commercial_space_satellite_internet;low_altitude_space_satellite,satellite navigation
300073,Dangsheng Technology,2,power_solid_state_battery;solid_state_battery_materials,cathode;cathode material
300161,Huazhong CNC,2,industrial_mother_machine_laser;robotics_highend_manufacturing,CNC system;industrial CNC
300188,Meiya Pico,2,data_element_fintech_ai_app;xinchuang_software_cybersecurity,data security
300212,E-Hualu,2,data_element_fintech_ai_app;xinchuang_software_cybersecurity,data asset
300347,Tigermed,2,cxo_biotech_innovative_drug;innovative_drug_medical_device,clinical CRO
300363,Porton Pharma,2,cxo_biotech_innovative_drug;innovative_drug_medical_device,CDMO
300364,Chinese Online,2,data_element_fintech_ai_app;media_game_ai_application,digital content and data;digital reading
300390,Canmax,2,power_solid_state_battery;solid_state_battery_materials,lithium chemical
300394,TFC Communication,2,cpo_optical_module_datacenter;datacenter_optical_liquid_cooling,optical passive component;optical component
300413,Mango Excellent Media,2,media_game_ai_application;tourism_retail_services,streaming media;entertainment service
300418,Kunlun Tech,2,data_element_fintech_ai_app;media_game_ai_application,AI application;AI application and game
300424,Aviation New Technology,2,defense_ship_equipment;low_altitude_space_satellite,aviation maintenance
300482,Wondfo Biotech,2,innovative_drug_medical_device;medical_device_ivd_imaging,IVD
300491,Tonghe Technology,2,renewable_grid_storage;uhv_smart_grid_power_equipment,charging module
300567,Jingce Electronic,2,ai_compute_semiconductor;semiconductor_equipment_materials,semiconductor inspection;inspection equipment
300570,T&S Communications,2,cpo_optical_module_datacenter;datacenter_optical_liquid_cooling,optical connector;fiber connector
300595,Opm Biosciences,2,innovative_drug_medical_device;medical_device_ivd_imaging,bioprocess;bioprocess equipment
300604,Changchuan Technology,2,ai_compute_semiconductor;semiconductor_equipment_materials,IC testing equipment;IC test equipment
300607,Topstar,2,industrial_mother_machine_laser;robotics_highend_manufacturing,industrial automation
300660,Jiangsu Leili,2,humanoid_robot_core_parts;robotics_highend_manufacturing,micro motor
300693,Power Electronics Seed,2,datacenter_optical_liquid_cooling;renewable_grid_storage,power electronics seed;power electronics
300725,Pharmablock,2,cxo_biotech_innovative_drug;innovative_drug_medical_device,chemistry CRO;CRO chemistry
300759,Pharmaron,2,cxo_biotech_innovative_drug;innovative_drug_medical_device,CXO platform;CXO
300760,Mindray Medical,2,innovative_drug_medical_device;medical_device_ivd_imaging,medical device
300782,Maxscend,2,ai_compute_semiconductor;consumer_electronics_pcb,RF chip
301358,Hunan Yuneng,2,power_solid_state_battery;solid_state_battery_materials,LFP cathode
301368,Fengli Intelligent,2,humanoid_robot_core_parts;robotics_highend_manufacturing,micro transmission
600011,Huaneng Power,2,coal_power_oil_gas;high_dividend_state_owned_finance,thermal power;power
600026,COSCO Shipping Energy,2,shipbuilding_ocean_shipping;shipping_ports_logistics,tanker shipping;energy shipping
600027,Huadian Power,2,coal_power_oil_gas;high_dividend_state_owned_finance,thermal power;power
600031,Sany Heavy Industry,2,industrial_mother_machine_laser;robotics_highend_manufacturing,high-end equipment;construction machinery
600038,Avicopter,2,defense_ship_equipment;low_altitude_space_satellite,helicopter
600089,TBEA,2,renewable_grid_storage;uhv_smart_grid_power_equipment,transformer and silicon;transformer and UHV
600111,Northern Rare Earth,2,metals_energy_metals;rare_earth_magnetic_materials,rare earth;rare earth resource
600150,CSSC Holdings,2,defense_ship_equipment;shipbuilding_ocean_shipping,shipbuilding
600176,China Jushi,2,chemical_new_materials;real_estate_chain,glass fiber
600188,Yankuang Energy,2,coal_power_oil_gas;high_dividend_state_owned_finance,coal
600276,Hengrui Medicine,2,cxo_biotech_innovative_drug;innovative_drug_medical_device,innovative drug
600312,Pinggao Electric,2,renewable_grid_storage;uhv_smart_grid_power_equipment,UHV switchgear
600316,Hongdu Aviation,2,defense_ship_equipment;low_altitude_space_satellite,trainer aircraft;aircraft
600406,NARI Technology,2,renewable_grid_storage;uhv_smart_grid_power_equipment,grid automation
600428,COSCO Shipping Specialized,2,shipbuilding_ocean_shipping;shipping_ports_logistics,special shipping;specialized shipping
600482,China Ship Defense,2,defense_ship_equipment;shipbuilding_ocean_shipping,ship equipment
600487,Hengtong Optic-Electric,2,cpo_optical_module_datacenter;datacenter_optical_liquid_cooling,optical cable
600522,Zhongtian Technology,2,cpo_optical_module_datacenter;datacenter_optical_liquid_cooling,optical cable
600584,JCET,2,advanced_packaging_chiplet_pcb;ai_compute_semiconductor,advanced packaging
600760,AVIC Shenyang Aircraft,2,defense_ship_equipment;low_altitude_space_satellite,aircraft
600795,GD Power,2,coal_power_oil_gas;high_dividend_state_owned_finance,power
600886,SDIC Power,2,coal_power_oil_gas;high_dividend_state_owned_finance,power
600941,China Mobile,2,central_soe_high_dividend;high_dividend_state_owned_finance,telecom dividend
601018,Ningbo Zhoushan Port,2,shipbuilding_ocean_shipping;shipping_ports_logistics,port
601100,Hengli Hydraulic,2,industrial_mother_machine_laser;robotics_highend_manufacturing,hydraulic component
601179,China XD Electric,2,renewable_grid_storage;uhv_smart_grid_power_equipment,UHV equipment
601225,Shaanxi Coal,2,coal_power_oil_gas;high_dividend_state_owned_finance,coal;coal dividend
601288,Agricultural Bank of China,2,central_soe_high_dividend;high_dividend_state_owned_finance,bank dividend;large bank dividend
601360,Qihoo 360,2,data_element_fintech_ai_app;xinchuang_software_cybersecurity,security AI;security and AI
601398,ICBC,2,central_soe_high_dividend;high_dividend_state_owned_finance,bank dividend;large bank dividend
601728,China Telecom,2,central_soe_high_dividend;high_dividend_state_owned_finance,telecom dividend
601816,Beijing-Shanghai High Speed Railway,2,central_soe_high_dividend;high_dividend_state_owned_finance,transport dividend
601872,China Merchants Energy Shipping,2,shipbuilding_ocean_shipping;shipping_ports_logistics,energy shipping;tanker dry bulk
601877,Chint Electrics,2,renewable_grid_storage;uhv_smart_grid_power_equipment,low-voltage and solar;low-voltage electrical
601939,China Construction Bank,2,central_soe_high_dividend;high_dividend_state_owned_finance,bank dividend;large bank dividend
601988,Bank of China,2,central_soe_high_dividend;high_dividend_state_owned_finance,bank dividend;large bank dividend
601989,China Heavy Industry,2,defense_ship_equipment;shipbuilding_ocean_shipping,shipbuilding
603259,WuXi AppTec,2,cxo_biotech_innovative_drug;innovative_drug_medical_device,CXO platform;CXO
603283,Saiteng,2,industrial_mother_machine_laser;robotics_highend_manufacturing,precision equipment;precision automation
603338,Zhejiang Dingli,2,industrial_mother_machine_laser;robotics_highend_manufacturing,industrial equipment;aerial work platform
603416,Xinjie Electric,2,humanoid_robot_core_parts;robotics_highend_manufacturing,PLC and servo
603659,Putailai,2,power_solid_state_battery;solid_state_battery_materials,anode coating separator;anode and coating
603662,Keli Sensing,2,humanoid_robot_core_parts;robotics_highend_manufacturing,force sensor;sensor
603799,Huayou Cobalt,2,metals_energy_metals;power_solid_state_battery,cobalt nickel lithium material;battery metal
603882,KingMed Diagnostics,2,innovative_drug_medical_device;medical_device_ivd_imaging,medical testing
603893,Rockchip,2,ai_compute_semiconductor;consumer_electronics_pcb,AIoT chip
603986,GigaDevice,2,ai_compute_semiconductor;consumer_electronics_pcb,memory and MCU
605117,Deye,2,home_appliance_export;renewable_grid_storage,inverter export;inverter
688008,Montage Technology,2,ai_compute_semiconductor;consumer_electronics_pcb,memory interface chip;memory interface
688012,Advanced Micro-Fab,2,ai_compute_semiconductor;semiconductor_equipment_materials,semiconductor equipment;etching equipment
688017,Green Harmonic,2,humanoid_robot_core_parts;robotics_highend_manufacturing,harmonic reducer;robot reducer
688019,Anji Micro,2,ai_compute_semiconductor;semiconductor_equipment_materials,semiconductor material;CMP slurry and photoresist material
688029,Nanwei Medical,2,innovative_drug_medical_device;medical_device_ivd_imaging,endoscope device
688037,Kingsemi,2,ai_compute_semiconductor;semiconductor_equipment_materials,lithography process equipment;photoresist process equipment
688072,Piotech,2,ai_compute_semiconductor;semiconductor_equipment_materials,thin film equipment;domestic deposition equipment;thin film deposition equipment
688099,Amlogic,2,ai_compute_semiconductor;consumer_electronics_pcb,AIoT SoC;SoC
688111,Kingsoft Office,2,data_element_fintech_ai_app;xinchuang_software_cybersecurity,office AI;office software
688120,Hwatsing,2,ai_compute_semiconductor;semiconductor_equipment_materials,CMP equipment
688126,National Silicon,2,ai_compute_semiconductor;semiconductor_equipment_materials,semiconductor wafer;large silicon wafer
688180,Junshi Biosciences,2,cxo_biotech_innovative_drug;innovative_drug_medical_device,antibody drug;innovative antibody
688200,Huafeng Test,2,ai_compute_semiconductor;semiconductor_equipment_materials,semiconductor test equipment
688234,Tianyue Advanced,2,ai_compute_semiconductor;semiconductor_equipment_materials,SiC substrate
688235,BeiGene,2,cxo_biotech_innovative_drug;innovative_drug_medical_device,oncology drug;innovative oncology
688239,Aerospace Nanhu,2,commercial_space_satellite_internet;low_altitude_space_satellite,radar
688266,Zelgen,2,cxo_biotech_innovative_drug;innovative_drug_medical_device,innovative drug
688271,United Imaging,2,innovative_drug_medical_device;medical_device_ivd_imaging,medical imaging
688305,KSEC Intelligent,2,industrial_mother_machine_laser;robotics_highend_manufacturing,motion control
688331,RemeGen,2,cxo_biotech_innovative_drug;innovative_drug_medical_device,ADC and biologic;innovative drug
688333,Xi'an Bright Laser,2,commercial_space_satellite_internet;low_altitude_space_satellite,aerospace additive manufacturing;aerospace 3D printing
688388,Jiayuan Technology,2,power_solid_state_battery;solid_state_battery_materials,copper foil
688390,GoodWe,2,renewable_grid_storage;uhv_smart_grid_power_equipment,inverter
688396,China Resources Micro,2,ai_compute_semiconductor;semiconductor_equipment_materials,power semiconductor
688409,Fortune Precision,2,ai_compute_semiconductor;semiconductor_equipment_materials,semiconductor equipment parts
688498,Yuanjie Semiconductor,2,cpo_optical_module_datacenter;datacenter_optical_liquid_cooling,laser chip
688525,Siglent,2,ai_compute_semiconductor;semiconductor_equipment_materials,electronic measurement;electronic test instrument
688567,Farasis Energy,2,power_solid_state_battery;solid_state_battery_materials,solid-state battery watchlist
688575,YHLO Biotech,2,innovative_drug_medical_device;medical_device_ivd_imaging,IVD
688608,Bestechnic,2,ai_compute_semiconductor;consumer_electronics_pcb,wireless audio chip;audio chip
688617,APT Medical,2,innovative_drug_medical_device;medical_device_ivd_imaging,medical device;electrophysiology device
688698,Weihong,2,industrial_mother_machine_laser;robotics_highend_manufacturing,motion control;CNC control
000002,Vanke A,1,real_estate_chain,real estate
000012,CSG Holding,1,real_estate_chain,glass
000031,Grandjoy Holdings,1,real_estate_chain,real estate
000050,Tianma Microelectronics,1,consumer_electronics_pcb,display
000069,Overseas Chinese Town,1,real_estate_chain,real estate tourism
000088,Yantian Port,1,shipping_ports_logistics,port
000100,TCL Technology,1,consumer_electronics_pcb,display panel
000157,Zoomlion,1,robotics_highend_manufacturing,construction machinery
000301,Eastern Shenghong,1,chemical_new_materials,chemical fiber
000333,Midea Group,1,home_appliance_export,home appliance export
000338,Weichai Power,1,smart_ev_autonomous_driving,powertrain
000401,Jidong Cement,1,real_estate_chain,cement
000402,Financial Street,1,real_estate_chain,real estate
000425,XCMG Machinery,1,robotics_highend_manufacturing,construction machinery
000426,Xingye Silver Tin,1,metals_energy_metals,silver tin
000524,Lingnan Holdings,1,tourism_retail_services,travel service
000526,Xueda Education,1,education_human_capital,education service
000537,Guangyu Development,1,coal_power_oil_gas,new energy power
000539,Guangdong Electric Power,1,coal_power_oil_gas,power
000543,Anhui Wenergy,1,coal_power_oil_gas,power
000550,Jiangling Motors,1,smart_ev_autonomous_driving,commercial vehicle
000568,Luzhou Laojiao,1,agriculture_food_beverage,liquor
000582,Beibu Gulf Port,1,shipping_ports_logistics,port
000596,Gujing Gongjiu,1,agriculture_food_beverage,liquor
000625,Changan Automobile,1,smart_ev_autonomous_driving,vehicle
000630,Tongling Nonferrous,1,metals_energy_metals,copper
000651,Gree Electric,1,home_appliance_export,home appliance
000661,Changchun High-Tech,1,innovative_drug_medical_device,biopharma
000725,BOE Technology,1,consumer_electronics_pcb,display panel
000733,Zhenhua Technology,1,defense_ship_equipment,military electronics
000737,North Copper,1,metals_energy_metals,copper
000738,Avicopter,1,defense_ship_equipment,helicopter
000776,GF Securities,1,high_dividend_state_owned_finance,broker
000786,BBMG,1,real_estate_chain,cement building material
000796,Tourism Seed,1,tourism_retail_services,travel watchlist
000800,FAW Jiefang,1,smart_ev_autonomous_driving,commercial vehicle
000807,Yunnan Aluminum,1,metals_energy_metals,aluminum
000823,Ultrasonic Electronics,1,consumer_electronics_pcb,PCB
000858,Wuliangye,1,agriculture_food_beverage,liquor
000875,Jidian Electric Power,1,coal_power_oil_gas,power
000876,New Hope,1,agriculture_food_beverage,pig and feed
000877,Tianshan Materials,1,real_estate_chain,cement
000878,Yunnan Copper,1,metals_energy_metals,copper
000888,Emei Shan Tourism,1,tourism_retail_services,scenic spot
000895,Shuanghui Development,1,agriculture_food_beverage,meat processing
000933,Shenhuo,1,metals_energy_metals,coal aluminum
000960,Yunnan Tin,1,metals_energy_metals,tin
000963,Huadong Medicine,1,innovative_drug_medical_device,pharma and aesthetics
000970,Zhongke Sanhuan,1,rare_earth_magnetic_materials,NdFeB magnet
000975,Yintai Gold,1,metals_energy_metals,gold
000978,Guilin Tourism,1,tourism_retail_services,scenic spot
000983,Shanxi Coking Coal,1,coal_power_oil_gas,coal
000998,Longping High-Tech,1,agriculture_food_beverage,seed
001283,Haojiang Intelligent,1,home_appliance_export,smart home controls
001979,China Merchants Shekou,1,real_estate_chain,real estate
002032,Supoer,1,home_appliance_export,small appliance
002033,Lijiang Tourism,1,tourism_retail_services,scenic spot
002035,Appliance Export Seed,1,home_appliance_export,export seed
002049,Unigroup Guoxin,1,ai_compute_semiconductor,security and FPGA chip
002056,Hengdian DMEGC,1,rare_earth_magnetic_materials,magnetic material
002080,Sinoma Science,1,power_solid_state_battery,lithium separator
002085,Wanfeng Auto,1,low_altitude_space_satellite,low altitude aircraft chain
002120,Yunda Holding,1,shipping_ports_logistics,express
002129,TCL Zhonghuan,1,renewable_grid_storage,silicon wafer
002138,Sunlord Electronics,1,consumer_electronics_pcb,passive component
002142,Bank of Ningbo,1,high_dividend_state_owned_finance,regional bank
002155,Hunan Gold,1,metals_energy_metals,gold antimony
002179,AVIC Optoelectronics,1,defense_ship_equipment,connectors
002182,Baowu Magnesium,1,metals_energy_metals,magnesium
002183,Eternal Asia,1,shipping_ports_logistics,supply chain
002202,Goldwind,1,renewable_grid_storage,wind turbine
002203,Hailiang,1,metals_energy_metals,copper pipe
002216,Sanquan Food,1,agriculture_food_beverage,frozen food
002237,Hengbang,1,metals_energy_metals,gold smelting
002241,GoerTek,1,consumer_electronics_pcb,acoustic and XR
002242,Joyoung,1,home_appliance_export,small appliance
002251,Retail Seed,1,tourism_retail_services,retail seed
002268,Empyrean Technology,1,xinchuang_software_cybersecurity,EDA
002271,Oriental Yuhong,1,real_estate_chain,waterproof material
002273,Crystal-Optech,1,consumer_electronics_pcb,optics
002284,Asia-Pacific,1,smart_ev_autonomous_driving,brake system
002291,Digital Retail Seed,1,media_game_ai_application,AI application seed
002292,Alpha Group,1,media_game_ai_application,IP and toy
002304,Yanghe Brewery,1,agriculture_food_beverage,liquor
002311,Haid Group,1,agriculture_food_beverage,feed
002324,Pret Composites,1,chemical_new_materials,modified plastic
002326,Yongtai Technology,1,chemical_new_materials,fluorine fine chemical
002334,INVT,1,renewable_grid_storage,industrial inverter
002340,GEM,1,power_solid_state_battery,battery recycling precursor
002352,SF Holding,1,shipping_ports_logistics,express logistics
002353,Oil Service Seed,1,coal_power_oil_gas,oil service seed
002368,Taiji Computer,1,xinchuang_software_cybersecurity,government IT
002385,Dabeinong,1,agriculture_food_beverage,seed feed
002402,Consumer Electronics Seed,1,consumer_electronics_pcb,electronics watchlist
002405,NavInfo,1,smart_ev_autonomous_driving,autonomous driving map
002410,Glodon,1,xinchuang_software_cybersecurity,construction software
002414,Infrared Equipment Seed,1,defense_ship_equipment,infrared seed
002419,Rainbow Digital Commercial,1,tourism_retail_services,retail
002434,Wanliyang,1,smart_ev_autonomous_driving,transmission
002439,Venustech,1,xinchuang_software_cybersecurity,cybersecurity
002456,OFILM,1,consumer_electronics_pcb,optical module
002459,JA Solar,1,renewable_grid_storage,solar module
002460,Ganfeng Lithium,1,metals_energy_metals,lithium
002466,Tianqi Lithium,1,metals_energy_metals,lithium
002475,Luxshare Precision,1,consumer_electronics_pcb,consumer electronics
002481,Shuangta Food,1,agriculture_food_beverage,plant protein
002487,Dajin Heavy Industry,1,renewable_grid_storage,wind tower
002493,Rongsheng Petrochemical,1,chemical_new_materials,refining chemical
002507,Fuling Zhacai,1,agriculture_food_beverage,food
002508,Robam Appliances,1,home_appliance_export,kitchen appliance
002517,Kingnet Network,1,media_game_ai_application,game
002531,Titan Wind,1,renewable_grid_storage,wind tower
002532,Tianshan Aluminum,1,metals_energy_metals,aluminum
002536,Feilong Auto,1,smart_ev_autonomous_driving,thermal management
002555,Sanqi Interactive,1,media_game_ai_application,game
002557,Qiaqia Food,1,agriculture_food_beverage,snack
002558,Giant Network,1,media_game_ai_application,game
002572,Sogal,1,real_estate_chain,custom furniture
002601,LB Group,1,chemical_new_materials,titanium dioxide
002602,Century Huatong,1,media_game_ai_application,game
002605,Yaoji Technology,1,media_game_ai_application,game
002607,Offcn Education,1,education_human_capital,vocational education
002611,Dongfang Precision,1,power_solid_state_battery,battery equipment
002624,Perfect World,1,media_game_ai_application,game
002635,Anjie Technology,1,consumer_electronics_pcb,functional parts
002643,Wanshun New Material,1,chemical_new_materials,display material
002648,Satellite Chemical,1,chemical_new_materials,light hydrocarbon chemical
002659,Education Tech Seed,1,education_human_capital,education seed
002677,Consumer Export Seed,1,home_appliance_export,consumer export seed
002698,Bozhon Precision,1,robotics_highend_manufacturing,automation equipment
002705,Ningbo Joyson,1,home_appliance_export,auto electronics export
002714,Muyuan Foods,1,agriculture_food_beverage,pig farming
002738,Sinomine Resource,1,metals_energy_metals,cesium lithium
002739,Wanda Film,1,media_game_ai_application,cinema
002756,Yongxing Materials,1,metals_energy_metals,lithium stainless steel
002812,Yunnan Energy New Material,1,power_solid_state_battery,separator
002815,Chongda Technology,1,consumer_electronics_pcb,PCB
002837,Cooling Equipment Seed,1,datacenter_optical_liquid_cooling,thermal management watchlist
002860,Hangzhou Star Shuaier,1,home_appliance_export,home appliance component
002867,Chow Tai Seng,1,tourism_retail_services,jewelry retail
002906,Huayang Group,1,smart_ev_autonomous_driving,smart cockpit
002918,Mona Lisa,1,real_estate_chain,ceramic tile
002920,Desay SV,1,smart_ev_autonomous_driving,smart cockpit
002959,Bear Electric,1,home_appliance_export,small appliance
002988,New Material Seed,1,metals_energy_metals,new material seed
003032,Chuanzhi Education,1,education_human_capital,IT training
003816,CGN Power,1,coal_power_oil_gas,nuclear power
300002,Shenzhou Taiyue,1,media_game_ai_application,game and AI
300010,Dou Shen Education,1,education_human_capital,education service
300013,Logistics Fintech Seed,1,shipping_ports_logistics,logistics seed
300015,Aier Eye,1,innovative_drug_medical_device,medical service
300024,Siasun Robot,1,robotics_highend_manufacturing,industrial robot
300037,Capchem,1,power_solid_state_battery,battery electrolyte
300058,BlueFocus,1,media_game_ai_application,marketing AI
300059,East Money,1,data_element_fintech_ai_app,internet finance
300068,Narada Power,1,renewable_grid_storage,energy storage
300115,Everwin Precision,1,consumer_electronics_pcb,precision component
300118,Risen Energy,1,renewable_grid_storage,solar module
300122,Zhifei Biological,1,innovative_drug_medical_device,vaccine
300133,Huace Film & TV,1,media_game_ai_application,content
300144,Songcheng Performance,1,tourism_retail_services,culture tourism
300146,By-Health,1,agriculture_food_beverage,nutrition
300166,Business-intelligence of Oriental Nations,1,xinchuang_software_cybersecurity,data analytics
300170,Hand Enterprise Solutions,1,education_human_capital,enterprise digital training
